Multi-Category Schedule 2,,,
Category,Family and Type,Level,IfcGUID
,,,
Air Terminals,M_Supply Diffuser - Rectangular Face Round Neck: 600x600 - 250 Neck,Level 2,0_aOXMG45DCReBUZexWi$$
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,25d8vNFRj878F8EetlLCj1
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 14 kW,Level 1,2iYv$69FzCEwJ60ry0czg1
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsb6V
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsb1A
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsb3A
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsb2I
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsb2J
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsbFu
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,2g3pwqJVH2Q89NwiSLsbFv
Duct Systems,Duct System: Supply Air,,2g3pwqJVH2Q89NwiSLsbmX
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUai
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUak
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUag
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUah
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUam
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUx4
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUx3
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUxC
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,1qXS5vasH8rxQBPpPnXUxF
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUx8
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUx9
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXUxk
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXU_l
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUzG
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUzY
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXUzm
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1qXS5vasH8rxQBPpPnXUzz
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUyr
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUoG
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXUnT
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1qXS5vasH8rxQBPpPnXUt5
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXUsw
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,1qXS5vasH8rxQBPpPnXUr0
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXUqI
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXXA$
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXX99
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1qXS5vasH8rxQBPpPnXX9c
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1qXS5vasH8rxQBPpPnXX82
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXX8z
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXXFc
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1qXS5vasH8rxQBPpPnXXEU
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1qXS5vasH8rxQBPpPnXXEa
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,1qXS5vasH8rxQBPpPnXXEj
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1qXS5vasH8rxQBPpPnXXD3
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1qXS5vasH8rxQBPpPnXXDf
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1qXS5vasH8rxQBPpPnXXCE
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1qXS5vasH8rxQBPpPnXXCY
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXX3N
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXX3r
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,1qXS5vasH8rxQBPpPnXX3t
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1qXS5vasH8rxQBPpPnXX2L
